n,i,j,pstar,E,F3,F3_sign,S_minus,S_plus,slope_left,slope_right,certified_by
200,124,130,0.6343701910180507,189.6213386130144,51.99913879565521,+,-0.04756830538224981,0.2711545022862988,-0.2050847261194291,1.16904830623179,double
200,125,129,0.6343462801684531,189.6213408474262,53.382378759587,+,-0.2199681533495267,0.004218848242406731,-0.9483385729003547,0.0181885262051084,double
200,125,130,0.6368452165066519,189.6371929616639,53.7040691798163,+,-0.09662997970538435,0.1772688191166322,-0.4178171171190031,0.7664903499330263,double
200,126,130,0.6393221781099401,189.6534396076351,55.27680055871284,+,-0.1404526511455872,0.08433956725776404,-0.6091029915708368,0.3657565898933755,double
200,126,131,0.6418215894331574,189.669924020863,55.55170632709027,+,-0.007288777326466048,0.267324972555649,-0.0317059635516688,1.162855641854235,double
200,127,130,0.6418012233644872,189.6699228158342,56.70335420551234,+,-0.1485113471371597,0.02354427070181422,-0.6460036900102103,0.1024143006252859,double
200,127,131,0.6442980894549276,189.686800728816,57.17016884268571,+,-0.05057554292413427,0.1748490735792409,-0.2206823053640834,0.7629398404308206,double
200,128,131,0.6467767711095546,189.7039175808349,58.63508234518869,+,-0.05817361100217073,0.1143964071343119,-0.2546374945252149,0.5007358833935996,double
200,129,131,0.6492577871619841,189.7214325260511,59.93169933846377,+,-0.05882945587073984,0.05797803423091093,-0.2583387932910163,0.254599930917403,double
200,130,131,0.651741293532325,189.7391875110872,61.04477612046367,+,-0.003604830114440611,0.05537590761073616,-0.01588208739951064,0.2439740505323132,double
500,237,264,0.5009989705412512,482.6498880810287,13.98744871755838,+,-0.05471984195743468,0.4103089421918498,-0.2188802415490073,1.641242320226908,double
500,238,264,0.5019978001425973,482.6500202154136,14.04383233756809,+,-0.2744902588183199,0.1976615971359128,-1.097978564305222,0.7906590112737435,double
500,238,265,0.5029969117165718,482.6502059120317,14.96230220325859,+,-0.01248756395378818,0.4525378318353464,-0.04995205038848623,1.810216361028374,double
500,239,265,0.5039956004572458,482.6504803612631,15.08758303688816,+,-0.2309533346379374,0.2411945604134896,-0.9238723363851012,0.9648398556440871,double
500,240,265,0.504994161679425,482.6508085403929,15.27612143340326,+,-0.4417165927852034,0.03599755365008434,-1.767042662985576,0.1440045814483199,double
500,240,266,0.5059934011160366,482.6512253602473,16.13117044061588,+,-0.1873231124152253,0.2848181791540181,-0.7494001260397675,1.139436434748721,double
500,241,266,0.5069918269077536,482.6516959719414,16.38630536316745,+,-0.3968304531881503,0.08087800983444854,-1.587632262451817,0.3235753120872129,double
500,241,267,0.5079912022912074,482.6522552482786,17.17451282208833,+,-0.14360319585992,0.3285288466794389,-0.5745595473540004,1.314451146512077,double
500,242,267,0.5089894926928565,482.6528682669635,17.49622454672686,+,-0.3518553925909513,0.1258454875377438,-1.407876657927254,0.5035447179172238,double
500,242,268,0.5099890041551162,482.6535700750401,18.21752839738065,+,-0.09979718532172911,0.372322958482639,-0.3993481294382234,1.489886478637723,double
500,243,268,0.5109871591941151,482.6543254818544,18.60580319828637,+,-0.3067949497053902,0.1708964437510685,-1.227772654224028,0.6839160179891653,double
500,243,269,0.5119868068803728,482.655169903999,19.26013526310805,+,-0.05590867969597983,0.4161969103197526,-0.2237633232087952,1.665745001827996,double
500,244,269,0.5129848265711474,482.6560676867892,19.71496541939376,+,-0.2616526609965422,0.2160273366331701,-1.047316978523633,0.8646925149526744,double
500,244,270,0.5139846106398631,482.6570548124213,20.30225138493574,+,-0.01194127621015312,0.4601470984205216,-0.04780249965283817,1.842029371517186,double
500,245,269,0.5139827481102676,482.6570548396342,20.22052545748505,+,-0.4769445392899638,0.004641629906221412,-1.909271339046351,0.01858105128869315,double
500,245,270,0.514982494983847,482.6580949657398,20.82363518074925,+,-0.2164320606943633,0.2612346254952453,-0.8665062793061378,1.045877596126924,double
500,246,270,0.5159802864884478,482.6592245369276,21.39348825459496,+,-0.4305219191752217,0.05105552331835633,-1.723848550458398,0.2044309150016187,double
500,246,271,0.5169801645924372,482.6604074164957,21.93173629612238,+,-0.1711366813416451,0.3065147702516795,-0.6853371273883981,1.227474732474449,double
500,247,271,0.5179778260420886,482.6616794121404,22.5658909447713,+,-0.3840255096017373,0.09754202099763121,-1.538090495514393,0.3906731497220392,double
500,247,272,0.5189778355575375,482.663005150689,23.03919239089026,+,-0.1257700546108622,0.3518642305978048,-0.5038060180033659,1.409487476520409,double
500,248,272,0.5199753669193282,482.66441958362,23.73766294012859,+,-0.3374587810490925,0.144097644326444,-1.351992987657745,0.5773120025553888,double
500,248,273,0.5209755080402005,482.6658882938206,24.14592688463085,+,-0.0803357110554265,0.3972794662531693,-0.3219093685761307,1.591919464577658,double
500,249,273,0.521972909268726,482.6674451835867,24.9087334520749,+,-0.2908252027541827,0.1907189149557333,-1.165551765341722,0.7643518027514402,double
500,249,274,0.5229731822019503,482.6690569852916,25.25186297263508,+,-0.03483718060912631,0.4427569364588539,-0.1396435194579681,1.774774416025652,double
500,250,274,0.5239704532393173,482.6707563581655,26.07903146530941,+,-0.2441282430710169,0.2374023544427739,-0.9787624919853496,0.9517969617714609,double
500,251,274,0.5249676605414503,482.6725110585834,26.94209145748169,+,-0.4445273710077201,0.03916701156491037,-1.782554347989435,0.1570596802723559,double
500,251,275,0.5259679989806625,482.6743532674224,27.24848571431187,+,-0.1973713701210041,0.2841444835919692,-0.7916207570581867,1.139651972203869,double
500,252,275,0.5269650812903366,482.67625064678,28.17368386428763,+,-0.3966231979994459,0.08706524064589966,-1.591120506221242,0.3492768210975185,double
500,252,276,0.5279655466428981,482.6782360854037,28.4170246590736,+,-0.1505580519397682,0.33094182230349,-0.6041220751115525,1.327921408754453,double
500,253,276,0.5289625038715156,482.6802761871438,29.4044013513311,+,-0.3486634447872694,0.1350185403060106,-1.39934902405609,0.5418923762483067,double
500,253,277,0.529963096376768,482.6824050001788,29.5845764700378,+,-0.1036917568078355,0.3777908892349922,-0.4162618855095376,1.516609928528083,double
500,254,277,0.5309599284236707,482.6845878745289,30.63417769723907,+,-0.3006515195375502,0.1830234906307891,-1.207234698888957,0.7349116643119789,double
500,254,278,0.5319606483336967,482.6868602138857,30.7510689935379,+,-0.0567759541426795,0.4246882009020288,-0.2280355543777158,1.705722269096478,double
