n,n_cusps,n_negF3,max_pstar,min_pstar,min_F3,E_half,min_E_minus_Ehalf,argmin_i,argmin_j,median_slope_jump,min_slope_jump,n_double_cusps,n_iv
1203,425,3,0.6519936635529945,0.5004154351856995,-697.9585878164563,1175.8201885457481,1.6357055983462487e-05,582,622,1.8766051266735757,0.059332375274610105,24,0
1204,427,6,0.6522821576764243,0.5004150978988793,-812.2450699558062,1176.8086936077502,1.1564753776838188e-05,582,623,1.8767608824644268,0.009061442603054672,25,0
1205,431,6,0.6521560025224047,0.5004147457326059,-791.5404058145476,1177.797198668425,1.63165491358086e-05,583,623,1.8771210898256183,0.01762373991605242,29,0
1206,430,4,0.6520301326451773,0.5004144095515681,-779.1651870983338,1178.78571326193,1.1536136980794254e-05,583,624,1.8774283024482903,0.025282676790467546,27,1
1207,426,4,0.6523178807945418,0.5004140585649813,-714.8449950604476,1179.7742278543744,1.6276367659884272e-05,584,624,1.877755118758051,0.010283677950095218,22,0
1208,424,1,0.6521920088803623,0.500413723484285,-602.8537578616489,1180.7627519568855,1.1507559520396171e-05,584,625,1.8780828714341695,0.013704383853829005,14,0
1209,429,5,0.6520664209017972,0.5004133736714684,-762.3193544510509,1181.7512760578343,1.6236125702562276e-05,585,625,1.8783019786073063,0.0391291332776076,23,0
1210,428,7,0.652353426919864,0.5004130396857277,-704.710237268139,1182.7398096424306,1.147883131125127e-05,585,626,1.8785759035124232,0.021648498263927948,26,0
1211,429,5,0.6522278369902701,0.5004126910407979,-728.5662178008898,1183.728343227306,1.6196172055060742e-05,586,626,1.878941672124159,0.030473708777839732,40,0
1212,432,7,0.6516901382772533,0.5004123581446553,-824.785540722161,1184.7168862725907,1.1450577176219667e-05,586,627,1.8791433035437395,0.007037294831194146,14,0
1213,424,0,0.6523887973642056,0.5004120106617831,20.54231485245691,1185.7054293193294,1.6156422589119757e-05,587,627,1.8796696516255509,0.10582298452386268,20,0
1214,431,5,0.6518518518519025,0.5004116788498959,-832.7403183509105,1186.6939818024975,1.1422277566452976e-05,587,628,1.8798176721452524,0.005261165522899084,33,0
1215,431,8,0.651727086702924,0.5004113325232684,-786.8464316528273,1187.6825342850416,1.6116718370540184e-05,588,628,1.8800471684337448,0.01552355600468449,18,0
1216,432,7,0.6520132601722404,0.5004110017903719,-761.0002759337223,1188.6710961820472,1.1393999784559128e-05,588,629,1.880475143134548,0.01182956009210615,21,0
1217,431,4,0.6518883415437138,0.5004106717617443,-711.3858446879482,1189.6596580804662,1.607704371053842e-05,588,630,1.8807682868992108,0.04626802756066569,14,0
1218,427,2,0.6517638532670954,0.5004103269550418,-717.9846312863255,1190.6482293690958,1.1366129228917998e-05,589,630,1.8810377777232594,0.05386427966704662,16,0
1219,431,5,0.6520492928936445,0.5004099979967347,-737.2649368411938,1191.6368006563096,1.6037419527492602e-05,589,631,1.8813534198439474,0.034101163885076745,22,0
1220,429,1,0.651924651924669,0.5004096543329809,-683.4655777202848,1192.6253813117796,1.1338080412315321e-05,590,631,1.8816700091482526,0.050372671183362416,34,0
1221,429,4,0.6518004393089831,0.5004093264397831,-765.0065893972308,1193.613961968907,1.5997685977708898e-05,590,632,1.8818523635059736,0.04345882765314545,24,0
1222,438,8,0.6520851488408486,0.5004089839132999,-714.5461424639224,1194.6025519692096,1.1310291483823676e-05,591,632,1.882017909943504,0.014649168592872028,28,0
1223,435,7,0.6519607843136539,0.500408657080065,-758.9085388771742,1195.5911419699917,1.595807930243609e-05,591,633,1.8823677765781606,0.006221368111406098,13,0
1224,430,4,0.651836846154939,0.5004083156852099,-670.0261321038854,1196.5797412927557,1.1282702416792745e-05,592,633,1.88268833283457,0.006912412619208682,22,0
1225,433,3,0.6521208293111899,0.5004079899067936,-729.7787979665122,1197.5683406156038,1.5919085171844927e-05,592,634,1.8829526610967042,0.0512395693052215,18,0
1226,435,3,0.6519967400161878,0.5004076496379634,-726.0089699403727,1198.5569492367597,1.1255161325607332e-05,593,634,1.883222093978414,0.017858478712436628,30,0
1227,434,7,0.6518730751184065,0.500407324909266,-756.2048013042346,1199.5455578587118,1.587985411788395e-05,593,635,1.8832133474477795,0.008544443508646169,19,0
1228,440,10,0.652156335590147,0.5004069857609096,-758.1019668048903,1200.5341757573078,1.1227716186112957e-05,594,635,1.8813600983332897,0.0057860319375080144,24,0
1229,434,7,0.6520325203251512,0.5004066620768636,-721.0957010647273,1201.5227936555846,1.5840989362914115e-05,594,636,1.882722891949225,0.0012936932761431488,18,0
1230,433,2,0.6519091274996683,0.500406324043451,-722.8049878459495,1202.5114208069588,1.1200393146282295e-05,595,636,1.884375032376886,0.02788090058880223,14,0
1231,435,3,0.6521916689496439,0.5004060013990159,-1743.316028514899,1203.5000479590062,1.580229877617967e-05,595,637,1.88463321610212,0.0005534503433998469,14,0
1232,429,2,0.6520681265205857,0.500405664475059,-730.6063060770146,1204.488684342156,1.1173267012054566e-05,596,637,1.8849167931355308,0.035830709559416404,18,0
1233,441,8,0.6519450045868319,0.5004053428652506,-732.2726119783597,1205.477320724838,1.5763698002047022e-05,596,638,1.881737500668815,0.001666327248414847,20,0
1234,436,5,0.6522268306501701,0.5004050070452771,-719.2370869965438,1206.4659663182101,1.1146143833684619e-05,597,638,1.8848937252662412,0.042160513633202334,24,0
